brand,processor_brand,processor_name,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,Touchscreen,msoffice,latest_price,star_rating
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,42990,4.3
ASUS,Intel,Core i3,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,Yes,Yes,51990,4.7
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,48990,4.5
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,42990,4.5
Lenovo,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,38990,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,45990,4.3
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,42490,4.3
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,43970,4.3
ASUS,Intel,Core i3,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,39990,4.3
MSI,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,48990,4.5
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,54990,4.5
MSI,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,40990,4.4
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,41990,0
Lenovo,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Yes,No,54990,4.5
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,Yes,44990,4.4
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,41250,4.1
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,44990,0
ASUS,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,42990,4.7
DELL,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Yes,No,60790,4.4
HP,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,No,No,45650,4.1
DELL,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,Yes,41990,3.9
DELL,Intel,Core i3,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,No,No,45490,4.2
